WINTER,CLOSED,OPENED,DAYS
1852-53,NA,5-Apr,NA
1853-54,27-Dec,NA,NA
1854-55,NA,NA,NA
1855-56,18-Dec,14-Apr,118
1856-57,6-Dec,6-May,151
1857-58,25-Nov,26-Mar,121
1858-59,8-Dec,14-Mar,96
1859-60,7-Dec,26-Mar,110
1860-61,14-Dec,10-Apr,117
1861-62,2-Dec,13-Apr,132
1862-63,26-Dec,9-Apr,104
1863-64,18-Dec,21-Apr,125
1864-65,8-Dec,5-Apr,118
1865-66,14-Dec,18-Apr,125
1866-67,18-Dec,20-Apr,123
1867-68,12-Dec,31-Mar,110
1868-69,10-Dec,16-Apr,127
1869-70,2-Dec,12-Apr,131
1870-71,24-Dec,2-Apr,99
1871-72,19-Dec,23-Apr,126
1872-73,30-Nov,23-Apr,144
1873-74,29-Nov,14-Apr,136
1874-75,10-Dec,15-Apr,126
1875-76,10-Jan,10-Apr,91
1876-77,8-Dec,17-Apr,130
1877-78,6-Jan,9-Mar,62
1878-79,21-Dec,12-Apr,112
1879-80,17-Dec,25-Mar,99
1880-81,23-Nov,3-May,161
1881-82,2-Jan,21-Mar,78
1882-83,10-Dec,13-Apr,124
1883-84,18-Dec,15-Apr,119
1884-85,17-Dec,20-Apr,124
1885-86,12-Dec,19-Apr,128
1886-87,5-Dec,15-Apr,131
1887-88,24-Dec,15-Apr,113
1888-89,2-Jan,31-Mar,88
1889-90,14-Jan,30-Mar,75
1890-91,26-Dec,16-Apr,111
1891-92,27-Dec,2-Apr,97
1892-93,16-Dec,7-Apr,112
1893-94,4-Dec,15-Mar,101
1894-95,28-Dec,8-Apr,101
1895-96,5-Jan,5-Apr,91
1896-97,21-Dec,10-Apr,110
1897-98,17-Dec,27-Mar,100
1898-99,9-Dec,18-Apr,130
1899-00,27-Dec,17-Apr,111
1900-01,25-Dec,11-Apr,107
1901-02,15-Dec,30-Mar,105
1902-03,25-Dec,24-Mar,89
1903-04,13-Dec,17-Apr,126
1904-05,14-Dec,1-Apr,108
1905-06,1-Jan,8-Apr,97
1906-07,20-Dec,24-Mar,94
1907-08,1-Jan,24-Mar,83
1908-09,22-Dec,7-Apr,106
1909-10,18-Dec,26-Mar,98
1910-11,9-Dec,20-Mar,101
1911-12,28-Dec,14-Apr,108
1912-13,24-Dec,2-Apr,99
1913-14,12-Jan,10-Apr,88
1914-15,16-Dec,10-Apr,115
1915-16,28-Dec,8-Apr,102
1916-17,16-Dec,11-Apr,116
1917-18,11-Dec,5-Apr,115
1918-19,3-Jan,26-Mar,82
1919-20,9-Dec,28-Mar,110
1920-21,25-Dec,16-Mar,81
1921-22,25-Dec,31-Mar,96
1922-23,16-Dec,20-Apr,125
1923-24,1-Jan,14-Apr,104
1924-25,19-Dec,3-Apr,105
1925-26,16-Dec,19-Apr,124
1926-27,6-Dec,19-Mar,103
1927-28,17-Dec,1-Apr,106
1928-29,21-Dec,27-Mar,96
1929-30,3-Dec,20-Mar,107
1930-31,16-Dec,24-Mar,98
1931-32,30-Jan,4-Apr,65
1932-33,10-Dec,4-Apr,115
1933-34,25-Dec,26-Mar,91
1934-35,24-Dec,28-Mar,94
1935-36,20-Dec,30-Mar,101
1936-37,7-Dec,30-Dec,-
1936-37,5-Jan,13-Apr,121
1937-38,7-Dec,22-Mar,105
1938-39,28-Dec,4-Apr,97
1939-40,2-Jan,16-Apr,105
1940-41,5-Jan,11-Apr,96
1941-42,3-Jan,26-Mar,82
1942-43,7-Dec,2-Apr,116
1943-44,16-Dec,8-Apr,114
1944-45,18-Dec,20-Mar,92
1945-46,13-Dec,21-Mar,98
1946-47,30-Dec,10-Apr,101
1947-48,21-Dec,3-Apr,104
1948-49,24-Dec,30-Mar,96
1949-50,23-Dec,11-Apr,109
1950-51,11-Dec,12-Apr,122
1951-52,16-Dec,8-Apr,114
1952-53,30-Dec,21-Mar,81
1953-54,30-Dec,25-Mar,85
1954-55,2-Jan,4-Apr,92
1955-56,12-Dec,4-Apr,114
1956-57,14-Dec,4-Apr,111
1957-58,30-Dec,4-Apr,95
1958-59,9-Dec,14-Apr,126
1959-60,29-Dec,12-Apr,105
1960-61,19-Dec,6-Apr,108
1961-62,16-Dec,12-Apr,117
1962-63,12-Dec,3-Apr,112
1963-64,20-Dec,11-Apr,113
1964-65,15-Dec,14-Apr,120
1965-66,11-Jan,17-Mar,65
1966-67,26-Dec,3-Apr,98
1967-68,27-Dec,27-Mar,91
1968-69,17-Dec,19-Dec,-
1968-69,25-Dec,10-Apr,108
1969-70,16-Dec,8-Apr,113
1970-71,24-Dec,13-Apr,110
1971-72,5-Jan,19-Apr,105
1972-73,7-Dec,14-Mar,97
1973-74,21-Dec,5-Apr,105
1974-75,2-Jan,19-Apr,107
1975-76,27-Dec,24-Mar,88
1976-77,3-Dec,28-Mar,115
1977-78,7-Dec,8-Dec,-
1977-78,10-Dec,11-Apr,123
1978-79,10-Dec,13-Dec,-
1978-79,25-Dec,19-Apr,118
1979-80,29-Dec,6-Apr,99
1980-81,20-Dec,23-Mar,93
1981-82,28-Dec,3-Apr,96
1982-83,13-Jan,8-Mar,54
1983-84,19-Dec,8-Apr,111
1984-85,25-Dec,26-Dec,-
1984-85,2-Jan,27-Mar,85
1985-86,14-Dec,31-Mar,107
1986-87,13-Dec,12-Mar,89
1987-88,2-Jan,29-Mar,87
1988-89,29-Dec,5-Apr,97
1989-90,12-Dec,15-Mar,93
1990-91,26-Dec,24-Mar,88
1991-92,18-Dec,26-Mar,99
1992-93,24-Dec,11-Apr,108
1993-94,27-Dec,31-Mar,94
1994-95,6-Jan,21-Mar,74
1995-96,10-Dec,7-Apr,119
1996-97,20-Dec,1-Apr,102
1997-98,11-Jan,27-Feb,47
1998-99,30-Dec,21-Mar,82
1999-00,14-Jan,7-Mar,53
2000-01,13-Dec,7-Apr,115
2001-02,2-Jan,12-Jan,--
2001-02,4-Mar,15-Mar,21
2002-03,4-Jan,3-Apr,89
2003-04,7-Jan,27-Mar,80
2004-05,25-Dec,5-Apr,101
2005-06,19-Dec,24-Mar,95
2006-07,20-Jan,27-Mar,66
2007-08,26-Dec,10-Apr,106
2008-09,16-Dec,23-Mar,97
2009-10,29-Dec,26-Mar,87
2010-11,15-Dec,3-Apr,109
2011-12,14-Jan,11-Mar,57
2012-13,14-Jan,11-Apr,87
2013-14,16-Dec,12-Apr,117
2014-15,2-Jan,3-Apr,91
2015-16,11-Jan,13-Mar,62
2016-17,1-Jan,7-Mar,65
2017-18,27-Dec,31-Mar,94